Title,Content,Number of Comments,Number of Likes,Number of Scraps,Comments
['긱사'],"['나', '오늘', '부터', '성별', '크레파스', '하기로', '했는데', '남자', '들', '이랑', '기숙사', '쓰는거', '너무', '싫다', '.', '룸메', '성별', '도', '교장', '선생님', '이라', '이성', '이랑', '같은', '방', '쓰는거', '너무', '민망하고', '수치', '스러워', '.', '혹시', '카이', '에', '크레파스', '레즈비언', '을', '위', '한', '기숙사', '는', '없냐', '?', '아', '룸메', '할', '크레파스', '도', '구함']",13,18,0,"['크레파스', '전용', '화장실', '은', '없으니', '필요하면', '나', '한테', '말하렴', ',', '난', '교장', '선생', '할게', ',', '왜', '크레파스', '라', '하니까', '껄리', '지', ',', '룸메', '교장', '선생님', '..,', '이', '게', '뭔', '밈임', '?,', '아파치', '헬리콥터', '밈', ',', '사팤코리아밈', ',', '교장', '선생님', '나와주세요', '~,', 'I', 'identify', 'myself', 'as', 'an', 'attack', 'helicopter', ',', '뿌', '링클', '로서', '공감', '하고', '연대', '합니다', ',', '사우스', '코리아', '파크', '나', '만', '본게', '아니었', '누', ',', '이', '거', '쇼츠', '에', '자주', '쓰더라', ',', '이', '게', '뭔', '말', '이냐']"
"['샤워실', '문', '닫고나가는게', '그렇게', '어려운', '일인', '가']","['에', '휴']",3,13,0,"['습기', '차', '~,', '옷', '갈아입는', '곳', '문', '말', '하는', '듯', '그건', '닫아주는', '게', '예의', '지', ',', '샤워실', '문', '열고나가는게', '그렇게', '어렵냐']"
['룸메'],"['맘', '에', '안', '들', '면', '개추', 'ㅋㅋ']",0,27,0,[]
"['다', '들', '이번', '학기', '도', '고생', '너무', '많았어요', '!']","['과제', '는', '계속', '있고', '시험', '공부', '도', '해야하는데', '진도', '는', '왜', '이렇게', '많이', '나간건', '지다', '들', '스트레스', '만', '땅', '이실', '수', '있지만', '그래도', '다음주', '면', '끝', '이니까', '조금', '만', '더', '화이팅', '이에요', '!', '요즘', '주변', '에', '힘들어하는', '사람', '들', '이', '많은거', '같아서', '응원', '하고', '싶었어요', 'ㅎㅎ', '제', '가', '이렇다', '저렇다', '말', '하는게', '불편하실', '수도', '있지만', '그래도', '다', '들', '정말', '15', '주', '동안', '너무', '고생', '많았어요', '!', '이번', '학기', '다', '같이', '잘', '마무리', '합시당', '!', '화이팅', '!']",9,162,4,"['고마워용', ',', '네', '!', '화이팅', '!!,', '다', '들', '화이팅', '합시다', '!', '요즘', '힘들면서도', '저', '마인드', '가', '공존', '하는', '거', '같네요', ',', 'ㅎㅎ', '맞아요', '!', '카이', '가', '편한', '학교', '는', '절대', '아니라', '지금', '사실', '다', '들', '힘들겠지만', '그래도', '곧', '끝나니까', '다', '같이', '잘', '마무리', '하면', '좋을', '것', '같아요', '!,', '항상', '힘들다고', '생각', '하는', '것', '보다', '이렇게', '생각', '하는게', '훨씬', '좋은', '거', '같네요', '!', '작성자', '님', '도', '남은', '학기', '와', '기', '말', '화이팅', '입니다', '!,', 'ㅎㅎ', '감사합니다', '!!', '다', '같이', '화이팅', '!,', '감사합니다', ',', '감사해요', 'ㅎㅎ', '화이팅', '합시다', '!,', '파야', '파야', '!']"
"['샀을', '때', '제일', '후회', '하는', '의자', '는', '?']","['팔', '걸', '이', '의자']",10,114,6,"['이건', '좀', '웃겼다', ',', '개신', '박하다', 'ㄹㅇ', ',', '아니지', '안', '팔아서', '후회', '해야', '되는', '거', '아님', '?', '샀는데', '팔', '걸이', '라고', '후회', '하는', '게', '어딨음', ',', '아', '쫌', '제발', '시발', ',', '맞긴해', 'ㅋㅋㅋㅋ', ',', '익', '4', '반응', '이', '살렸다', 'ㅋㅋㅋ', ',', 'ㄹㅇㅋㅋ', ',', '나도', '이', '생각', '했어', '.', '재밌긴', '하지만', ',', '사고', '나서', '후회', '한', '다', '면', '""', '사지', '말', '걸', '""', '이지', '""', '팔', '걸', '""', '은', '아니라고', '생각', '해', '.', '차라리', '""', '이사', '할', '때', '가져가면', '후회', '하는', '의자', '는', '?""', '이', '더', '적합한', '것', '같아', '.,', '유튜브', '에', '찐', '따', '특보', '고', '와줘용', ',', '더', '재밌게', '못', '만들면', '지', '적금', '지']"
"['2023', '카', '포전', '야구', '대표팀', '선발', '공지']","['안녕하십니까', '학우', '여러분', '.', '2023', '카이스트', '-', '포스텍', '학생', '대', '제전', '야구', '대표팀', '을', '모집', '합니다', '.', '1', '.', '선발', '일시', ':', '2023년', '7월', '01일', '토요일', '13:00', '시작', '(', '변경', '시', '추후', '재', '공지', ')', '2', '.', '선발', '장소', ':', '카이스트', '북', '측', '운동장', '야구장', '3', '.', '선발', '인원', ':', '예비', '엔트리', '15-18', '명', '(', '예상', ')', '4', '.', '지원', '자격', '-', '카이스트', '재학생', '으로서', '재학', '사실', '을', '증빙', '할', '수', '있는', '학우', '-', '대학원생', '(', '와일드카드', '2', '명', '),', '휴학생', '가능', '-', '여름', '방학', '및', '가을', '학기', '개강', '후', '카', '포전', '훈련', '을', '빠짐', '없이', '소화', '할', '수', '있는', '학우', '-', '교환학생', '불가', '5', '.', '지원', '방법', '-', '2023년', '6월', '23일', '금요일', '23:59', '까지', '아래', '의', '링크', '로', '들어가셔', '지', '원서', '를', '작성', '하시면', '됩니다', '.https://docs.google.com/forms/d/e/1FAIpQLSeS_bbOg4nPjtK3Zj6q3XgaoKp87bsUuqh3zKdneBMvh0FV4Q/viewform?usp=sf_link6', '.', '선발', '방법', '-', '포지션', '별', '기', '본기', '평가', '-', '선', '발전', '경기', '를', '통한', '경기', '운영', '능력', '평가', '7', '.', '대표팀', '훈련', '일정', '-', '7', ',', '8월', '매주', '화요일', ',', '목요일', ',', '일요일', '17시', '-', '20시', '(', '일몰', '상황', '에', '따라', '16시', '-', '19시', ')-', '특훈', ':', '8월', '07일', '-', '11일', '(', '예상', ')', '8', '.', '기타', '문의', '사항', '은', '정승민', '(', 'OlO', '-', '9077-6617', ')', '에게', '연락', '주시', '면', '답', '해', '드리겠습니다', '.', '감사합니다', '.']",3,22,0,"['치어리더', '가능한가여', ',', '남자', '만', '가능합니다', ',', '여자', '는', '안', '돼요', 'ㅎㅎ']"
"['카이스트', '위장', '남사', '친', '들']","['새', '터반', '이든', '동아리', '든', '같은', '수업', '조', '별', '과제', '든', '뭐', '가', '되었건', '마음', '에', '드는', '카이', '여성', '을', '만나면', '대부분', '은', '남자친구', '가', '있는', '상태', '이다', '마음', '속', '깊숙이', '연애', '감정', '을', '숨기', '고', '친한', '남사', '친', '한', '명', '으로', '위장', '해서지구', '주위', '를', '도', '는', '달', '처럼', '끝없이', '그녀', '주위', '를', '멤', '돌', '며', '몇', '달이', '고', '몇', '년', '이고', '...', '다른', '여자', '만나기도', '어렵고', '얘', '보다', '나은', '사람', '은', '없을', '것', '같고', '그녀', '의', '연애', '를', '직관', '하며', '마음', '만', '비참하게', '구겨지고', '그렇게', '스스로', '낮아져만', '간다', '시험', '기간', '은', '위장', '남사', '친', '들', '의', '주요', '활동', '기간', '이다', '그녀', '가', '남친', '이랑', '자주', '싸우니까', '그녀', '의', '마음', '이', '약해진', '이', '때', '를', '노려', '자주', '침투', '하여', '애쓴다', '그렇게', '쟁취', '한', '그녀', '남사', '친', '아닌', '남친', '이', '되었지만', '그녀', '는', '여전히', '많은', '남사', '친', '들', '에게', '둘러싸여있다', '스스로', '연애', '의', '시작', '이', '떳떳하지', '못', '했기에', '낮아진', '자존감', '에', '다른', '남사', '친', '들', '의', '존재', '는', '거북하게만', '느껴진다', '""', '카이', '잖아', '~""', '남사', '친이었을', '때', '본인', '이', '했던', '말', '이', '그녀', '의', '입', '에서', '족쇄', '가', '되어', '본인', '을', '옥죈', '다', '올라오려던', '말', '은', '삼킨', '침', '과', '함께', '목구멍', '을', '타고', '내려간다나도', '남사', '친이었어', '.**********', '헤어진', '친구', '얘기', '듣고', '적어', '봤습니다', '카이', 'cc', '는', '남사', '친', '문제', '로', '자주', '싸우고', '헤어지고', '하더라고요', '그', '친구', '도', '여러분', '도', '모두', '자존감', '높일', '수', '있는', '건전한', '연애', '할', '수', '있으면', '좋겠습니다']",13,36,1,"['카이', '에서', 'CC', '하려면', '어쩔', '수', '없지', '뭐', ',', 'kaist', '=', 'beta', 'orbiter', ""'"", 's', 'paradise', ',', '6', '연', '부터', '소설', ',""', '벽력', '일', '섬', '6', '연', '"",', '지는', '특별하길', '바라는', '건가', ',', '내', '가', '이래서', '연애', '를', '안함', ',', '카이', '문학', 'ㄷㄷ', ',', '그래서', '나', '는', '위장', '이', '아니라', '소', '장함', ',', 'ㅋㅋ', '재밌네요', '근데', '익', '3', '처럼', '6', '연', '이뤄지는', '거', '거의', '못', '본듯', ',', '그치', '...', '6', '연', '되지도', '않고', '되어', '봤자', '비참하니', '걍', '저', '짓거리', '좀', '안', '했으면', '좋겠음', ',', '난', '꽤', '나', '본거', '같은데', ',,', '물론', '걔네', '가', '바로', '사귀진', '않고', '위장', '남사', '친', '들', '이랑', '놀다가', '남친', '한테', '“', '남친', '이', '있어도', '외로워', '남친', '이랑', '노느라', '친구', '를', '못', '사귀었다', '등등', '”', '전형', '적', '인', '가스', '라', '이', '팅', '시전', '하면서', '헤어지고', '연애', '생각', '없다고', '하다가', '금방', '그', '위장', '남사', '친', '또는', '더', '괜찮은', '남자', '생기', '면', '한두', '달안', '에', '금방', '연애', '하드', '라', ',', '그러게', '잘나서', '하나', '튕겨', '도', '문제', '없게', '이', '것', '저', '것', '다', '따먹는', '알파메일', '하면', '될', '거', '아니냐', '~,', '영', '과고', '면', '개', '같은', '남사', '친', '들', '고딩', '때', '이미', '느끼지', '않았나', '….', '그래서', '난', '롱디함']"
"['오리', '날다']","['끼얏', '호우']",0,28,0,[]
"['컴', '그', '개', '그림자', '스트리밍', '공지']","['본인', '입니다', '(', '인증', '아래', '스크린샷', '참조', ')', '밤새', '결국', '100', '을', '달성', '했군요', '태양', '만세', '!', '많은', '성원', '에', '감사', '드리며', ',', '저', '도', '여러분', '들', '도', '강의', '가', '있을', '테', '니', '오늘', '저녁', '8시', '까지', '스트리밍', '준비', '해', '오겠습니다', '치팅', '방송', '이', '되지', '않는', '선', '에서', '간략히', '해설', '드리고', ',', '시간', '되는', '데', '까지', '저', '챗', '방송', '을', '켜겠습니다', '저', '스트리밍', '처음', '입니다', '.', '몰', '?', '루', '살려', 'ㅜ', '줘', '링크', '는', '여기', '댓글', '에', '남기겠습니다감사합니', '다https://www.twitch.tv/eulissedev']",14,41,6,"['그', '는', '신인', '가', '?', '그', '는', '신인', '가', '?', '그', '는', '신인', '가', '?', '그', '는', '신인', '가', '?,', '팬덤', '이름', '이', '뭔가', '요', '?', '넙죽', '단', '?', '거위', '단', '?,', '광', '형', '단', ',', '영도', '켜주시나요', ',', '캬', '감다', '살', '이궈궈', '든', '~,', '디시', '에', '좌표', '찍어도', '되나요', '?,', '스갤', '드가자잇', '~,', '맘대로', '하', '셈', ',https://www.twitch.tv/eulissedev', ',', '팔로우', '함', ',', '그', '개개', '님', '한판', '해요', ',', '🤩', ',', '그림자', '군주', '님', '!!,', '다시', '보기', '없나요', '?']"
['거위'],"['🐥', '🐥']",11,40,3,"['사진', '넘', '이쁘다', ',', '두번째', '사진', '개인', '홈피', '에', '써도', '됨', '?,', '두번째', '짤', '윈도우', '잠금', '화면', '에', '나올', '것', '같음', ',', '카이스트', '엔', '거위', '가', '산답니다', '더', '알아보려면', '링크', '를', '클릭', '...,', '거위', '새끼', '가', '벌써', '저렇게', '컸나', '?', '어미', '가', '애지중지', '잘', '키웠네', 'ㅎㅎ', ',', '새끼', '어디', '감', 'ㅠㅠ', ',', '가운데', '있자노', ',', '금손', '이다', '!!', '금손', '!!,', '잘', '찍으셨수다', ',', '미쳤다', '어케', '찍었어', ',', '디붕', '이니']"
